coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Mar 04 20:31:43 +0000 2015,SupportPolice PoliceLivesMatter Ferguson SupportDarrenWilson,,http://fb.me/3PQXiL9aA,0,573219292784795649,,,,en,,False,0,573215629018320896,DoctorMikeCrain,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DoctorMikeCrain: The way it should be. #SupportPolice #PoliceLivesMatter #Ferguson #SupportDarrenWilson Now I'll sit back and wait... h…,https://twitter.com/chloelynxo/status/573219292784795649,Sat Nov 23 16:18:51 +0000 2013,chloelynxo,False,just a girl who wants to be a cop and is a proud supporter of the thin blue line.,59200,620,1194,7,,Chloe,chloelynxo,9334,Eastern Time (US & Canada),,False
,Wed Mar 04 20:41:42 +0000 2015,PoliceLivesMatter,,,0,573221802228510720,,,,en,,False,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lest there be any doubt that our AG is a racist, today he was ""saddened"" that the Ferguson incident was not a hate crime!#PoliceLivesMatter",https://twitter.com/osborta/status/573221802228510720,Tue Oct 27 02:15:16 +0000 2009,osborta,False,,236,41,141,0,,Tim Osborne,osborta,675,Central Time (US & Canada),,False
,Wed Mar 04 20:47:15 +0000 2015,police Ferguson NewYork MichaelBrown EricGarner PoliceLivesMatter,http://twitter.com/WashTimes/status/569560980474236928/photo/1,http://www.washingtontimes.com/news/2015/feb/22/police-morale-takes-hit-events-ferguson-staten-isl/,0,573223201171484674,,,,en,,False,0,569560980474236928,WashTimes,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @WashTimes: #police morale hurt by #Ferguson and #NewYork. #MichaelBrown #EricGarner #PoliceLivesMatter
http://t.co/zlZizcILHu http://t.…",https://twitter.com/BIZEEEE/status/573223201171484674,Wed Apr 23 21:07:56 +0000 2014,BIZEEEE,False,"BRICKSQUADMAFIA1017, BRICKSQUADMONOPOLY-LI, AND HSM ARTIST/ENGINEER/DJ Booking:@mackdrama1017 #1017BrickSquadMafiaGang #1017BRICKSQUAD #FreeGuwop #FreeKontraver",45,39977,101,34,NEVA KNOW,KINGBIZBSM1017,BIZEEEE,13636,Atlantic Time (Canada),,False
,Wed Mar 04 20:51:34 +0000 2015,policelivesmatter,,http://usat.ly/1BI0Jdn,0,573224285524779009,,,,en,,False,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Wheres sharpton now? DOJ: Wilson won't be charged in Ferguson fatal shooting http://t.co/ffXUunjqh4 via @usatoday #policelivesmatter,https://twitter.com/wendymadeve/status/573224285524779009,Mon Sep 14 03:27:31 +0000 2009,wendymadeve,False,"Proud Mother, Wife & Lover of Life.German Shepherds ❤️ #policelivesmatter My heart belongs to a cop! Proud American & daughter of 3Xpurple heart VN vet. #NObama",2348,704,721,8,,Wendizzle Marizzle,wendymadeve,3780,Eastern Time (US & Canada),,False
,Wed Mar 04 21:10:56 +0000 2015,SupportPolice PoliceLivesMatter Ferguson SupportDarrenWilson,,http://fb.me/3PQXiL9aA,0,573229162015543296,,,,en,,False,0,573215629018320896,DoctorMikeCrain,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DoctorMikeCrain: The way it should be. #SupportPolice #PoliceLivesMatter #Ferguson #SupportDarrenWilson Now I'll sit back and wait... h…,https://twitter.com/MrsRobK/status/573229162015543296,Thu Aug 14 03:18:06 +0000 2014,MrsRobK,False,,21,13,31,0,,CLK,MrsRobK,85,,,False
,Wed Mar 04 22:35:19 +0000 2015,PoliceLivesMatter,,,0,573250394664669186,,,,en,,False,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The city of Ferguson, the whole city that believes it's ok to assault a police officer and not get shot. #PoliceLivesMatter",https://twitter.com/tallnsexxyy/status/573250394664669186,Fri Sep 30 15:05:31 +0000 2011,tallnsexxyy,False,U.S. ARMY,955,185,215,0,"Naugatuck, CT",Nate,tallnsexxyy,4072,,,False
,Wed Mar 04 22:37:51 +0000 2015,Ferguson MikeBrown PoliceLivesMatter FergusonReport,,,0,573251033385857025,MatthewKeysLive,573250555256049666,754485,en,,True,0,,,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","@MatthewKeysLive Charge that bitch and ""burn this down"" boyfriend. #Ferguson #MikeBrown #PoliceLivesMatter #FergusonReport",https://twitter.com/ReallyRickPhD/status/573251033385857025,Tue Jan 20 08:34:33 +0000 2015,ReallyRickPhD,False,"Formerly @TheReallyRick YouTube Partner, Gaymer & extremely opinionated, left-wing Liberal, Lady Gaga worshiping, #DowntonAbby #Scandal Police loving Democrat.",241,33,152,2,The Internet,ReallyRick,ReallyRickPhD,301,Central Time (US & Canada),,False
,Wed Mar 04 23:17:13 +0000 2015,policeLivesMatter,,,0,573260941543936000,,,,en,,False,0,,,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",Waiting for the media to apologize to the Ferguson police officer.  Still waiting. #policeLivesMatter,https://twitter.com/JagOff2014/status/573260941543936000,Thu Jan 02 23:30:39 +0000 2014,JagOff2014,False,Just Another Guy......Opining For Free,127,373,669,1,,JAG OFF,JagOff2014,1232,Arizona,,False
,Wed Mar 04 23:45:17 +0000 2015,policelivesmatter,,,0,573268004726833152,wolfblitzer,,71294756,en,,False,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@wolfblitzer Justice dept. Probe into ferguson for ""civil rights"" violation is ridiculous! Brown assaulted cop #policelivesmatter",https://twitter.com/michaelwwalters/status/573268004726833152,Sat Mar 26 23:20:44 +0000 2011,michaelwwalters,False,I love life....and breakfast cereal.,111,103,289,3,"Greensboro, NC",Michael Walters,michaelwwalters,1706,,,False
,Thu Mar 05 00:34:40 +0000 2015,crime Ferguson tcot PoliceLIvesMatter,http://twitter.com/redsteeze/status/573244386798133248/photo/1,,0,573280430893346816,,,,en,,False,0,,,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",Eric Holder complains about racist White Cops &amp; African American #crime in #Ferguson - http://t.co/bWZbKd2sVc #tcot #PoliceLIvesMatter,https://twitter.com/DragonForce_One/status/573280430893346816,Fri Feb 10 01:28:55 +0000 2012,DragonForce_One,False,JESUS IS LORD! Liberty Loving - Constitutionalist - 2nd Amend - Staunch Conservative - With a Libertarian Streak - Bitter Clinger - Molon Labe.,1311,3844,4029,73,"Abbotsford, B.C.",DragonForce_One,DragonForce_One,49312,Pacific Time (US & Canada),,False
